,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
11353,G. Poussin,21,France,FC Girondins de Bordeaux,GK,GK,187.0,Right,"Jul 1, 2017",7,949,352,Medium,Medium,68,66,64,66,21,67,11.0,22.0,22.0,22.0,19.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,20.0,22.0,22.0,22.0,20.0,19.0,22.0,22.0,22.0,19.0,19.0,22.0,22.0,22.0,19.0,66.0,67,7.041392685158225,3.6989700043360187,7.361727836017593
11354,B. Dost,31,Netherlands,Eintracht Frankfurt,ST,ST,183.0,Right,"Aug 26, 2019",38,1762,377,Medium,Medium,47,81,57,65,51,76,81.0,78.0,78.0,78.0,67.0,74.0,74.0,74.0,67.0,69.0,69.0,69.0,64.0,66.0,66.0,66.0,64.0,53.0,58.0,58.0,58.0,53.0,52.0,61.0,61.0,61.0,52.0,17.0,78,7.977723605288848,4.518513939877887,8.209515014542632
11355,A. Julio,24,Ecuador,Atlético de San Luis,RM,LM LW,154.0,Right,"Jan 3, 2020",23,1680,367,High,Low,82,64,63,72,27,59,8.0,66.0,66.0,66.0,70.0,69.0,69.0,69.0,70.0,68.0,68.0,68.0,70.0,61.0,61.0,61.0,70.0,54.0,47.0,47.0,47.0,54.0,50.0,39.0,39.0,39.0,50.0,16.0,71,7.491361693834273,3.9542425094393248,7.740362689494244
11356,João Queirós,22,Portugal,1. FC Köln,CB,CB,179.0,Left,"Jul 18, 2017",65,1442,313,Medium,High,51,34,49,43,65,71,8.0,44.0,44.0,44.0,42.0,42.0,42.0,42.0,42.0,44.0,44.0,44.0,45.0,50.0,50.0,50.0,45.0,56.0,60.0,60.0,60.0,56.0,58.0,64.0,64.0,64.0,58.0,12.0,64,5.778151250383644,3.6989700043360187,7.079181246047625
11357,M. Kudus,19,Ghana,Ajax,CAM,CAM CM,154.0,Left,"Jul 16, 2020",52,1967,433,High,High,87,70,67,79,53,77,722.0,72.0,72.0,72.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,72.0,72.0,72.0,75.0,66.0,65.0,65.0,65.0,66.0,64.0,60.0,60.0,60.0,64.0,15.0,75,8.021189299069938,3.9542425094393248,8.225309281725863
11358,M. Targett,24,England,Aston Villa,LWB,LB LWB,154.0,Left,"Jul 1, 2019",73,1886,399,High,Medium,72,46,70,70,73,68,117.0,61.0,61.0,61.0,67.0,65.0,65.0,65.0,67.0,65.0,65.0,65.0,69.0,68.0,68.0,68.0,69.0,75.0,72.0,72.0,72.0,75.0,74.0,70.0,70.0,70.0,74.0,19.0,76,6.954242509439325,4.6020599913279625,8.250420002308894
11359,G. Mainero,25,Argentina,Vélez Sarsfield,RM,RW ST CF,146.0,Right,"Jan 1, 2018",41,1848,404,High,High,89,64,61,72,47,71,9.0,67.0,67.0,67.0,70.0,67.0,67.0,67.0,70.0,66.0,66.0,66.0,70.0,62.0,62.0,62.0,70.0,63.0,57.0,57.0,57.0,63.0,61.0,55.0,55.0,55.0,61.0,18.0,70,7.342422680822207,4.0,7.544068044350276
11360,N. Gyömbér,26,Slovakia,Perugia,CB,CB,163.0,Right,"Aug 14, 2018",72,1444,319,Medium,Medium,57,31,42,49,73,67,3.0,47.0,47.0,47.0,43.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0,45.0,49.0,49.0,49.0,45.0,59.0,63.0,63.0,63.0,59.0,62.0,71.0,71.0,71.0,62.0,17.0,72,7.4623979978989565,3.6020599913279625,7.662757831681574
11361,J. Koroma,21,England,Huddersfield Town,RM,RM ST LM,146.0,Right,"Jun 21, 2019",23,1478,324,Medium,Medium,73,55,50,61,32,53,17.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,58.0,52.0,52.0,52.0,58.0,48.0,44.0,44.0,44.0,48.0,47.0,40.0,40.0,40.0,47.0,14.0,59,5.477121254719663,3.4771212547196626,5.879669205632053
11362,P. Kirk,22,Republic of Ireland,Bohemian FC,LB,LB,146.0,Left,"Nov 16, 2017",57,1547,328,Medium,Medium,61,41,50,58,58,60,5.0,50.0,50.0,50.0,53.0,51.0,51.0,51.0,53.0,51.0,51.0,51.0,54.0,52.0,52.0,52.0,54.0,58.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,13.0,60,5.439332693830263,2.6989700043360187,5.682145076373832
11363,N. Vlašić,22,Croatia,PFC CSKA Moscow,CAM,CAM,174.0,Right,"Jun 26, 2019",54,2014,435,High,Medium,83,75,76,82,48,71,292.0,76.0,76.0,76.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,80.0,79.0,76.0,76.0,76.0,79.0,64.0,63.0,63.0,63.0,64.0,61.0,57.0,57.0,57.0,61.0,18.0,80,8.311753861055754,4.672097857935717,8.56702636615906
11364,P. Diamanka,30,Senegal,Albacete BP,CDM,CM CDM,159.0,Right,"Jul 5, 2019",64,1860,406,Medium,Medium,71,64,62,62,67,80,8.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0,65.0,68.0,68.0,68.0,65.0,67.0,70.0,70.0,70.0,67.0,67.0,69.0,69.0,69.0,67.0,18.0,68,5.9164539485499255,3.6020599913279625,0.0
11365,C. Miszta,16,Poland,Legia Warszawa,GK,GK,176.0,Right,"Mar 2, 2018",5,766,270,Medium,Medium,48,51,56,56,19,40,3.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,18.0,20.0,20.0,20.0,18.0,18.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,19.0,17.0,49.0,50,4.698970004336019,2.6989700043360187,5.079181246047625
11366,V. Birsa,33,Slovenia,Cagliari,CAM,CAM RW,176.0,Left,"Jan 9, 2019",68,1916,404,Medium,Medium,60,72,76,75,56,65,8.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,63.0,64.0,64.0,64.0,63.0,60.0,59.0,59.0,59.0,60.0,11.0,73,7.380211241711606,4.3979400086720375,7.6127838567197355
11367,Adrián Turmo,19,Spain,Girona FC,ST,ST,154.0,Right,"Sep 26, 2020",14,1522,321,Medium,Medium,76,65,46,60,21,53,7.0,62.0,62.0,62.0,59.0,61.0,61.0,61.0,59.0,59.0,59.0,59.0,57.0,51.0,51.0,51.0,57.0,41.0,38.0,38.0,38.0,41.0,39.0,35.0,35.0,35.0,39.0,16.0,62,5.812913356642856,3.0,7.146128035678238
11368,K. Peralta,23,Ecuador,El Nacional,RB,RB,174.0,Right,"Jan 1, 2018",60,1758,371,Medium,Low,77,45,59,64,63,63,3.0,54.0,54.0,54.0,58.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,64.0,63.0,63.0,63.0,64.0,65.0,63.0,63.0,63.0,65.0,19.0,67,5.9661417327390325,2.6989700043360187,7.342422680822207
11369,E. Cecchini,23,Argentina,Unión de Santa Fe,CDM,CDM CM,170.0,Right,"Jan 23, 2020",72,1890,408,High,Medium,66,65,68,68,71,70,15.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,68.0,69.0,70.0,70.0,70.0,69.0,69.0,70.0,70.0,70.0,69.0,19.0,71,6.477121254719663,3.845098040014257,7.707570176097937
11370,M. Lemos,24,Uruguay,Fenerbahçe SK,CB,CB CDM,187.0,Right,"Aug 26, 2020",70,1770,383,High,Medium,63,54,59,68,69,70,63.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,65.0,68.0,68.0,68.0,65.0,65.0,69.0,69.0,69.0,65.0,17.0,69,7.079181246047625,4.301029995663981,7.380211241711606
11371,M. Heinloth,28,Germany,FC Ingolstadt 04,RB,RB,170.0,Right,"Jul 1, 2019",57,1620,346,Medium,Medium,70,37,50,62,60,67,5.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0,57.0,54.0,54.0,54.0,57.0,62.0,59.0,59.0,59.0,62.0,63.0,62.0,62.0,62.0,63.0,18.0,65,5.676693609624866,3.3010299956639813,5.838219221907626
11372,J. Garner,32,England,Wigan Athletic,ST,ST,163.0,Right,"Aug 9, 2018",46,1835,375,High,Medium,64,68,54,65,47,77,11.0,67.0,67.0,67.0,63.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,62.0,60.0,60.0,60.0,62.0,54.0,56.0,56.0,56.0,54.0,54.0,57.0,57.0,57.0,54.0,19.0,67,5.778151250383644,3.4771212547196626,7.041392685158225
11373,Y. Gómez,22,Colombia,Independiente Medellín,LWB,LB,148.0,Left,"Jan 17, 2020",63,1440,331,Medium,Medium,84,28,44,60,56,59,4.0,46.0,46.0,46.0,54.0,50.0,50.0,50.0,54.0,50.0,50.0,50.0,55.0,48.0,48.0,48.0,55.0,61.0,54.0,54.0,54.0,61.0,60.0,56.0,56.0,56.0,60.0,13.0,62,5.628388930050312,2.845098040014257,5.81888541459401
11374,J. Eastwood,23,England,Kilmarnock,GK,GK,179.0,Right,"Aug 1, 2015",9,1039,339,Medium,Medium,63,60,61,59,37,59,12.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,23.0,60.0,61,5.439332693830263,2.9542425094393248,0.0
11375,A. Kalulu,24,France,FC Basel 1893,RW,RM ST,146.0,Right,"Jun 26, 2018",50,1701,366,High,Low,91,63,57,73,32,50,25.0,65.0,65.0,65.0,69.0,68.0,68.0,68.0,69.0,67.0,67.0,67.0,67.0,57.0,57.0,57.0,67.0,51.0,45.0,45.0,45.0,51.0,48.0,41.0,41.0,41.0,48.0,15.0,68,7.079181246047625,3.7781512503836434,6.301029995663981
11376,J. Moe,24,Norway,Stabæk Fotball,LB,LB,165.0,Left,"Jan 1, 2016",56,1621,341,Medium,Medium,68,33,58,59,61,62,4.0,49.0,49.0,49.0,54.0,52.0,52.0,52.0,54.0,53.0,53.0,53.0,57.0,56.0,56.0,56.0,57.0,63.0,60.0,60.0,60.0,63.0,63.0,61.0,61.0,61.0,63.0,16.0,65,5.795880017344075,3.0,5.91803033678488
11377,J. Nolan,28,England,Ipswich Town,CM,CM CAM,159.0,Right,"Aug 8, 2018",55,1808,382,High,Medium,69,62,63,68,57,63,3.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,65.0,65.0,65.0,64.0,63.0,63.0,63.0,63.0,63.0,62.0,59.0,59.0,59.0,62.0,12.0,65,5.720159303405957,3.6020599913279625,5.963315511386111
11378,A. Ryczkowski,23,Poland,Górnik Zabrze,RM,LM,152.0,Right,"Jul 1, 2018",35,1492,323,Medium,Low,72,54,54,63,30,50,3.0,57.0,57.0,57.0,60.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,59.0,52.0,52.0,52.0,59.0,46.0,42.0,42.0,42.0,46.0,44.0,38.0,38.0,38.0,44.0,14.0,60,5.439332693830263,3.0,5.593286067020458
11379,M. Škrtel,35,Slovakia,Medipol Başakşehir FK,CB,CB,179.0,Right,"Aug 20, 2020",77,1600,344,Medium,High,47,38,48,51,78,82,42.0,52.0,52.0,52.0,46.0,47.0,47.0,47.0,46.0,48.0,48.0,48.0,49.0,56.0,56.0,56.0,49.0,64.0,70.0,70.0,70.0,64.0,67.0,77.0,77.0,77.0,67.0,16.0,78,7.491361693834273,4.414973347970818,7.770852011642144
11380,A. Seydel,24,Germany,SV Darmstadt 98,ST,ST LM CAM,198.0,Left,"Aug 6, 2020",25,1528,341,Medium,Low,68,61,53,65,29,65,9.0,65.0,65.0,65.0,63.0,64.0,64.0,64.0,63.0,62.0,62.0,62.0,62.0,54.0,54.0,54.0,62.0,46.0,43.0,43.0,43.0,46.0,44.0,43.0,43.0,43.0,44.0,16.0,65,5.8750612633917,3.6989700043360187,7.146128035678238
11381,E. Prib,30,Russia,Fortuna Düsseldorf,CM,CM LM LB,170.0,Left,"Sep 2, 2020",70,1946,407,Medium,Medium,64,67,71,71,66,68,11.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,69.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,66.0,66.0,66.0,68.0,16.0,70,7.204119982655925,4.176091259055681,7.414973347970818
11382,P. Ruiz,21,Argentina,Real Salt Lake,LWB,LB CDM,150.0,Left,"Feb 8, 2018",64,1632,355,High,Medium,68,54,57,64,62,50,5.0,55.0,55.0,55.0,60.0,58.0,58.0,58.0,60.0,59.0,59.0,59.0,60.0,59.0,59.0,59.0,60.0,62.0,61.0,61.0,61.0,62.0,61.0,57.0,57.0,57.0,61.0,15.0,63,5.778151250383644,3.0,5.99563519459755
11383,J. Thompson,23,Northern Ireland,Stoke City,CAM,CM CAM,143.0,Left,"Jan 17, 2020",54,1725,371,Medium,Medium,71,53,62,67,55,63,3.0,59.0,59.0,59.0,64.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,61.0,61.0,61.0,58.0,58.0,58.0,61.0,15.0,64,5.812913356642856,3.7781512503836434,7.146128035678238
11384,S. Davis,35,Northern Ireland,Rangers FC,CM,CM,154.0,Right,"Jul 1, 2019",60,1903,381,Medium,High,48,61,73,73,63,63,12.0,63.0,63.0,63.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,68.0,71.0,71.0,71.0,68.0,67.0,69.0,69.0,69.0,67.0,65.0,65.0,65.0,65.0,65.0,16.0,71,6.0,4.361727836017593,7.2552725051033065
11385,J. Bijol,21,Slovenia,Hannover 96,CB,CDM,187.0,Right,"Jul 1, 2018",67,1818,394,Medium,Medium,66,61,62,59,70,76,50.0,65.0,65.0,65.0,61.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,62.0,65.0,65.0,65.0,62.0,66.0,69.0,69.0,69.0,66.0,67.0,71.0,71.0,71.0,67.0,17.0,70,7.447158031342219,3.9542425094393248,6.698970004336019
11386,K. Westwood,35,Republic of Ireland,Sheffield Wednesday,GK,GK,190.0,Left,"Jul 7, 2014",20,1250,405,Medium,Medium,72,71,70,73,47,72,6.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,29.0,28.0,28.0,28.0,29.0,28.0,29.0,29.0,29.0,28.0,28.0,32.0,32.0,32.0,28.0,71.0,72,5.929418925714293,3.845098040014257,7.204119982655925
11387,J. Martínez,33,Colombia,Portimonense SC,ST,ST,170.0,Right,"Aug 17, 2019",12,1792,374,Medium,Medium,67,72,62,70,31,72,11.0,72.0,72.0,72.0,68.0,70.0,70.0,70.0,68.0,68.0,68.0,68.0,67.0,63.0,63.0,63.0,67.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,18.0,72,6.301029995663981,3.845098040014257,7.623249290397901
11388,J. Morel,36,Madagascar,FC Lorient,CB,CB LB,157.0,Left,"Jul 1, 2020",77,1845,383,Low,High,65,44,62,59,75,78,16.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,60.0,63.0,63.0,63.0,60.0,69.0,71.0,71.0,71.0,69.0,71.0,75.0,75.0,75.0,71.0,17.0,75,7.113943352306837,4.2552725051033065,7.414973347970818
11389,Pedro,22,Brazil,Fiorentina,ST,ST,172.0,Right,"Sep 2, 2019",50,1737,378,Medium,Low,69,74,57,70,43,65,9.0,73.0,73.0,73.0,68.0,72.0,72.0,72.0,68.0,70.0,70.0,70.0,67.0,64.0,64.0,64.0,67.0,52.0,53.0,53.0,53.0,52.0,51.0,51.0,51.0,51.0,51.0,14.0,74,7.929418925714293,4.6020599913279625,8.209515014542632
11390,G. Zarfino,28,Uruguay,CD Tenerife,CDM,CM CDM,179.0,Right,"Aug 4, 2017",66,1862,399,High,High,55,66,62,65,71,80,6.0,68.0,68.0,68.0,64.0,67.0,67.0,67.0,64.0,67.0,67.0,67.0,65.0,70.0,70.0,70.0,65.0,67.0,72.0,72.0,72.0,67.0,68.0,71.0,71.0,71.0,68.0,17.0,70,7.2552725051033065,3.845098040014257,7.4623979978989565
11391,S. Mambo,21,DR Congo,ESTAC Troyes,CB,LB CB,168.0,Left,"Jun 24, 2019",64,1604,352,High,Medium,66,30,56,62,65,73,16.0,50.0,50.0,50.0,54.0,52.0,52.0,52.0,54.0,53.0,53.0,53.0,57.0,56.0,56.0,56.0,57.0,65.0,63.0,63.0,63.0,65.0,65.0,66.0,66.0,66.0,65.0,17.0,67,7.079181246047625,3.3010299956639813,7.361727836017593
11392,A. Dunbar,18,Republic of Ireland,Wexford Youths,GK,GK,181.0,Right,"Feb 1, 2016",12,825,245,Medium,Medium,44,41,52,46,23,39,3.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,19.0,21.0,21.0,21.0,19.0,17.0,20.0,20.0,20.0,17.0,17.0,21.0,21.0,21.0,17.0,44.0,45,4.653212513775344,2.6989700043360187,0.0
11393,B. Pringle,31,England,Morecambe,LM,LM,163.0,Left,"Aug 10, 2020",55,1759,363,Medium,Medium,62,62,63,64,50,62,5.0,59.0,59.0,59.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,61.0,61.0,61.0,63.0,59.0,58.0,58.0,58.0,59.0,57.0,54.0,54.0,54.0,57.0,17.0,64,5.6020599913279625,3.4771212547196626,5.845098040014257
11394,A. Uryga,26,Poland,Wisła Płock,CB,CB,187.0,Right,"Sep 4, 2017",60,1589,333,Low,Medium,52,43,54,44,63,77,4.0,52.0,52.0,52.0,48.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,51.0,54.0,54.0,54.0,51.0,60.0,62.0,62.0,62.0,60.0,61.0,66.0,66.0,66.0,61.0,18.0,66,5.860338006570994,3.3010299956639813,6.0
11395,M. Duré,29,Paraguay,Sportivo Luqueño,CM,CM CDM,157.0,Right,"Jul 26, 2020",51,1527,328,Medium,Medium,56,48,55,56,53,60,4.0,54.0,54.0,54.0,55.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,56.0,58.0,58.0,58.0,56.0,55.0,57.0,57.0,57.0,55.0,54.0,55.0,55.0,55.0,54.0,17.0,58,5.079181246047625,2.6989700043360187,5.41161970596323
11396,G. Guerrieri,24,Italy,Lazio,GK,GK,172.0,Right,"Jul 10, 2015",22,1071,349,Medium,Medium,63,60,59,62,45,60,4.0,28.0,28.0,28.0,25.0,27.0,27.0,27.0,25.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,25.0,25.0,28.0,28.0,28.0,25.0,61.0,62,5.511883360978874,3.6989700043360187,5.790988475088816
11397,K. Igboananike,31,Nigeria,IK Sirius,ST,ST,154.0,Right,"Jan 17, 2020",28,1663,359,High,Medium,89,63,48,67,29,63,3.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,61.0,53.0,53.0,53.0,61.0,48.0,43.0,43.0,43.0,48.0,47.0,42.0,42.0,42.0,47.0,17.0,64,5.6020599913279625,3.0,5.698970004336019
11398,M. Friedrich,24,Germany,1. FC Union Berlin,CB,CB,179.0,Right,"Jul 5, 2019",74,1630,349,Medium,Medium,60,36,56,50,75,72,43.0,51.0,51.0,51.0,49.0,50.0,50.0,50.0,49.0,52.0,52.0,52.0,53.0,59.0,59.0,59.0,53.0,65.0,69.0,69.0,69.0,65.0,67.0,74.0,74.0,74.0,67.0,19.0,74,6.845098040014257,4.301029995663981,8.117271295655764
11399,L. Rupp,29,Germany,Norwich City,CM,CM RM,161.0,Right,"Jan 13, 2020",67,1949,408,Medium,Medium,63,67,74,76,65,63,26.0,66.0,66.0,66.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,72.0,70.0,70.0,70.0,70.0,70.0,69.0,65.0,65.0,65.0,69.0,16.0,73,7.57978359661681,4.041392685158225,7.857332496431268
11400,C. Shaughnessy,24,Republic of Ireland,Leeds United,CDM,CB CM,163.0,Right,"Sep 1, 2016",58,1665,355,Medium,Medium,63,44,56,60,60,72,8.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,59.0,59.0,59.0,58.0,60.0,62.0,62.0,62.0,60.0,61.0,62.0,62.0,62.0,61.0,17.0,62,5.574031267727719,4.079181246047625,5.9164539485499255
11401,Jorginho,21,Guinea Bissau,AS Saint-Étienne,RM,RW LW,150.0,Right,"Jul 1, 2017",14,1662,356,Medium,Medium,78,64,60,72,23,59,3.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,67.0,67.0,67.0,68.0,61.0,61.0,61.0,68.0,51.0,48.0,48.0,48.0,51.0,47.0,37.0,37.0,37.0,47.0,19.0,68,7.113943352306837,4.0,0.0
11402,Douglas,32,Brazil,Vissel Kobe,ST,ST,163.0,Left,"Jan 11, 2020",38,1660,358,High,Medium,69,74,49,70,28,68,8.0,73.0,73.0,73.0,66.0,69.0,69.0,69.0,66.0,64.0,64.0,64.0,63.0,55.0,55.0,55.0,63.0,46.0,44.0,44.0,44.0,46.0,44.0,44.0,44.0,44.0,44.0,16.0,73,7.505149978319906,4.0,7.623249290397901
11403,E. Agbadou,23,Ivory Coast,KAS Eupen,CB,CB CDM,187.0,Right,"Aug 31, 2020",62,1454,330,Medium,Medium,61,29,49,54,63,74,5.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,51.0,54.0,54.0,54.0,51.0,58.0,62.0,62.0,62.0,58.0,59.0,64.0,64.0,64.0,59.0,15.0,64,5.7596678446896306,3.3010299956639813,5.990338854787601
11404,L. Stevenson,32,Scotland,Hibernian,LB,LB,148.0,Left,"Sep 1, 2005",64,1710,362,Medium,High,63,43,61,65,63,67,4.0,55.0,55.0,55.0,59.0,58.0,58.0,58.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,63.0,64.0,64.0,64.0,63.0,63.0,64.0,64.0,64.0,63.0,16.0,65,5.511883360978874,3.3010299956639813,5.755112266395071
11405,K. Goden,21,Germany,1. FC Nürnberg,RB,RB RM,163.0,Right,"Jul 1, 2018",55,1575,350,High,Medium,83,38,50,59,59,61,17.0,51.0,51.0,51.0,56.0,53.0,53.0,53.0,56.0,52.0,52.0,52.0,56.0,51.0,51.0,51.0,56.0,61.0,56.0,56.0,56.0,61.0,62.0,59.0,59.0,59.0,62.0,14.0,64,5.8750612633917,3.3010299956639813,7.146128035678238
11406,J. Agudelo,27,United States,Inter Miami,ST,ST RM,183.0,Right,"Jan 1, 2020",55,1786,385,High,High,75,65,61,70,44,70,37.0,68.0,68.0,68.0,67.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,66.0,62.0,62.0,62.0,66.0,56.0,55.0,55.0,55.0,56.0,54.0,53.0,53.0,53.0,54.0,16.0,68,6.0,3.6020599913279625,7.204119982655925
11407,L. Butrón,43,Peru,Alianza Lima,GK,GK,181.0,Right,"Jan 1, 2015",17,1035,336,Medium,Medium,63,60,61,62,23,67,9.0,24.0,24.0,24.0,20.0,23.0,23.0,23.0,20.0,24.0,24.0,24.0,22.0,27.0,27.0,27.0,22.0,25.0,29.0,29.0,29.0,25.0,25.0,29.0,29.0,29.0,25.0,63.0,64,4.653212513775344,2.6989700043360187,4.986771734266245
11408,R. Meara,29,United States,New York Red Bulls,GK,GK,185.0,Right,"Feb 6, 2012",24,1087,372,Medium,Medium,65,64,61,70,46,66,3.0,27.0,27.0,27.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,25.0,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,26.0,65.0,66,5.653212513775344,3.3010299956639813,5.829303772831025
11409,E. Giani,18,Italy,Pisa,ST,ST RW,172.0,Right,"Aug 1, 2017",19,1544,331,High,High,71,59,50,59,29,63,14.0,60.0,60.0,60.0,57.0,58.0,58.0,58.0,57.0,56.0,56.0,56.0,56.0,50.0,50.0,50.0,56.0,45.0,43.0,43.0,43.0,45.0,44.0,42.0,42.0,42.0,44.0,14.0,61,5.720159303405957,2.6989700043360187,7.041392685158225
11410,V. van den Bogert,20,Netherlands,Willem II,CB,CB,172.0,Right,"Jan 1, 2017",57,1341,282,Medium,Medium,49,28,41,39,59,66,3.0,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,40.0,43.0,43.0,43.0,40.0,51.0,53.0,53.0,53.0,51.0,53.0,60.0,60.0,60.0,53.0,15.0,60,5.511883360978874,3.0,5.742725131304698
11411,C. Calderón,23,Mexico,Guadalajara,LB,LB,152.0,Left,"Jan 2, 2020",66,1695,377,Medium,Medium,81,42,57,67,65,65,22.0,58.0,58.0,58.0,63.0,60.0,60.0,60.0,63.0,60.0,60.0,60.0,65.0,60.0,60.0,60.0,65.0,68.0,65.0,65.0,65.0,68.0,68.0,65.0,65.0,65.0,68.0,15.0,70,7.342422680822207,4.278753600952829,7.623249290397901
11412,S. Palacios,28,Argentina,Newell's Old Boys,RM,RM ST,152.0,Right,"Jul 16, 2019",27,1857,402,High,Low,88,71,65,76,36,66,15.0,71.0,71.0,71.0,74.0,73.0,73.0,73.0,74.0,72.0,72.0,72.0,73.0,66.0,66.0,66.0,73.0,59.0,55.0,55.0,55.0,59.0,56.0,48.0,48.0,48.0,56.0,18.0,74,7.740362689494244,4.176091259055681,0.0
11413,M. Ngadeu,29,Cameroon,KAA Gent,CB,CB,205.0,Right,"Jul 19, 2019",68,1747,377,Medium,High,63,53,55,49,73,84,13.0,60.0,60.0,60.0,54.0,57.0,57.0,57.0,54.0,57.0,57.0,57.0,55.0,61.0,61.0,61.0,55.0,64.0,69.0,69.0,69.0,64.0,67.0,75.0,75.0,75.0,67.0,15.0,75,7.740362689494244,4.3222192947339195,7.919078092376074
11414,F. Becker,20,Germany,FC St. Pauli,LM,CM CDM,163.0,Left,"Jul 1, 2018",48,1686,370,Medium,Medium,79,49,64,72,49,57,34.0,58.0,58.0,58.0,65.0,64.0,64.0,64.0,65.0,66.0,66.0,66.0,67.0,65.0,65.0,65.0,67.0,62.0,59.0,59.0,59.0,62.0,60.0,52.0,52.0,52.0,60.0,15.0,65,7.079181246047625,3.6020599913279625,7.414973347970818
11415,L. Jastremski,19,Germany,Bayern München II,ST,ST,181.0,Right,"Jul 1, 2020",10,1274,270,Medium,Medium,55,58,38,50,18,51,7.0,56.0,56.0,56.0,51.0,53.0,53.0,53.0,51.0,49.0,49.0,49.0,48.0,42.0,42.0,42.0,48.0,34.0,31.0,31.0,31.0,34.0,33.0,31.0,31.0,31.0,33.0,14.0,56,5.301029995663981,3.0,5.6180480967120925
11416,K. Jørgensen,20,Denmark,Lyngby BK,RWB,RWB,176.0,Right,"Jul 11, 2019",52,1446,321,Medium,High,73,29,47,56,52,64,3.0,46.0,46.0,46.0,51.0,48.0,48.0,48.0,51.0,48.0,48.0,48.0,53.0,49.0,49.0,49.0,53.0,56.0,53.0,53.0,53.0,56.0,56.0,54.0,54.0,54.0,56.0,16.0,58,5.3979400086720375,3.0,5.671172842715083
